Object Designation  ,Date (yyyy-mm-dd.dd),Distance (rEarth),Sigma Impact  ,Stretch LOV (rEarth),Sigma LOV  ,Impact Probability  ,Width (rEarth),Impact Energy (Mt),Palermo Scale  ,Torino Scale  ,
29075 (1950 DA),2880-03-16.99,0.04,0,5.26E+02,-2.345,1.20E-04,1.00E-03,7.54E+04,-1.42,,a0029075
29075 (1950 DA),2185-03-29.75,0.51,0,2.23E+02,1.298,1.40E-03,< 1.e-04,1.45E+02,-1.83,,a0410777
101955 Bennu (1999 RQ36),2196-09-24.33,0.15,0,1.68E+04,-0.065,9.40E-05,< 1.e-04,1.15E+03,-2.32,,a0101955
101955 Bennu (1999 RQ36),2185-09-24.59,0.04,0,2.55E+04,0.182,6.30E-05,< 1.e-04,1.15E+03,-2.46,,a0101955
101955 Bennu (1999 RQ36),2175-09-25.15,0.23,0,1.49E+04,1.344,4.10E-05,< 1.e-04,1.15E+03,-2.62,,a0101955
101955 Bennu (1999 RQ36),2196-09-24.31,0,0,4.74E+04,-0.092,3.50E-05,< 1.e-04,1.15E+03,-2.74,,a0101955
410777 (2009 FD),2190-03-30.08,0.57,0,3.51E+03,0.565,1.70E-04,< 1.e-04,1.45E+02,-2.75,,a0410777
101955 Bennu (1999 RQ36),2193-09-24.60,0.01,0,9.47E+03,-1.938,2.80E-05,< 1.e-04,1.15E+03,-2.84,,a0101955
99942 Apophis (2004 MN4),2068-04-12.64,0.02,0,1.31E+05,1.007,6.70E-06,< 1.e-04,1.15E+03,-2.93,0,a0099942
101955 Bennu (1999 RQ36),2180-09-24.39,0.12,0,8.33E+04,0.529,2.00E-05,< 1.e-04,1.15E+03,-2.96,,a0101955
101955 Bennu (1999 RQ36),2185-09-24.59,0.07,0,8.34E+04,-0.111,2.00E-05,< 1.e-04,1.15E+03,-2.97,,a0101955
(1979 XB),2056-12-12.90,0.19,0,2.95E+06,-0.89486,1.80E-07,9.71E-02,4.27E+04,-3.12,0,bJ79X00B
(1979 XB),2113-12-14.75,0.21,0,1.40E+06,0.06341,5.60E-07,2.55E-02,3.07E+04,-3.13,0,bJ79X00B
(2010 AU118),2020-10-20.11,25.31,0.038,5.07E+05,-0.5637,1.30E-09,6.35E+02,9.10E+05,-3.14,0,bK10AB8U
(2007 FT3),2019-10-03.93,65.92,1.39,3.75E+04,-0.52688,9.20E-08,4.67E+01,2.67E+03,-3.17,0,bK07F03T
101955 Bennu (1999 RQ36),2180-09-24.36,0.19,0,9.67E+04,0.894,1.10E-05,< 1.e-04,1.15E+03,-3.19,,a0101955
101955 Bennu (1999 RQ36),2187-09-25.14,0.86,0,1.98E+04,1.689,8.30E-06,< 1.e-04,1.15E+03,-3.35,,a0101955
(2017 GM7),2035-06-20.48,0.73,0,2.61E+04,-2.90594,7.50E-08,3.62E+00,2.38E+04,-3.36,0,bK17G07M
(2015 ME131),2017-08-19.39,144.61,0.234,2.41E+05,0.7894,2.40E-09,6.15E+02,1.15E+04,-3.41,0,bK15MD1E
101955 Bennu (1999 RQ36),2175-09-25.16,0.45,0,1.18E+05,1.051,6.40E-06,< 1.e-04,1.15E+03,-3.43,,a0101955
(2008 UV99),2019-03-30.15,11.92,0.359,4.70E+05,0.51598,2.90E-08,3.04E+01,3.93E+03,-3.44,0,bK08U99V
(2017 FN128),2059-09-13.59,4.26,2.059,9.01E+03,2.28996,9.00E-08,1.58E+00,3.45E+04,-3.52,0,bK17FC8N
101955 Bennu (1999 RQ36),2191-09-25.13,0.03,0,3.05E+05,-0.164,5.40E-06,< 1.e-04,1.15E+03,-3.54,,a0101955
(2010 AU118),2025-10-20.64,103.75,0.164,7.40E+05,-0.53931,9.20E-10,6.26E+02,9.04E+05,-3.68,0,bK10AB8U
101955 Bennu (1999 RQ36),2182-09-24.85,0.28,0,3.03E+04,-2.291,3.50E-06,< 1.e-04,1.15E+03,-3.71,,a0101955
(2017 FO128),2104-03-15.81,0.61,0,1.13E+04,-1.58172,1.60E-05,1.17E-02,7.55E+01,-3.71,0,bK17FC8O
(2005 ED224),2018-03-11.32,0.9,0,2.96E+05,1.43764,4.10E-07,9.42E-03,2.45E+01,-3.72,0,bK05EM4D
(2001 CA21),2020-10-08.57,12.96,1.224,1.90E+06,-1.60215,3.20E-09,9.77E+00,5.49E+04,-3.73,0,bK01C21A
(2007 FT3),2024-10-02.85,52.12,1.079,5.48E+04,-0.82761,7.50E-08,4.74E+01,2.72E+03,-3.73,0,bK07F03T
