"Object Designation  ","Date (yyyy-mm-dd.dd)","Distance (rEarth)","Width (rEarth)","Sigma Impact  ","Sigma LOV  ","Stretch LOV (rEarth)","Impact Probability  ","Impact Energy (Mt)","Palermo Scale  ","Torino Scale  ",""
"29075 (1950 DA)","2880-03-16.99","0.04","1.00e-3","0.000","-2.345","5.26e+2","1.2e-4","7.538e+04","-1.42","","a0029075"
"410777 (2009 FD)","2185-03-29.75","0.51","< 1.e-04","0.000","1.298","2.23e+2","1.4e-3","1.448e+02","-1.83","","a0410777"
"101955 Bennu (1999 RQ36)","2196-09-24.33","0.15","< 1.e-04","0.000","-0.065","1.68e+4","9.4e-5","1.151e+03","-2.32","","a0101955"
"101955 Bennu (1999 RQ36)","2185-09-24.59","0.04","< 1.e-04","0.000","0.182","2.55e+4","6.3e-5","1.152e+03","-2.46","","a0101955"
"101955 Bennu (1999 RQ36)","2175-09-25.15","0.23","< 1.e-04","0.000","1.344","1.49e+4","4.1e-5","1.151e+03","-2.62","","a0101955"
"101955 Bennu (1999 RQ36)","2196-09-24.31","0.00","< 1.e-04","0.000","-0.092","4.74e+4","3.5e-5","1.151e+03","-2.74","","a0101955"
"410777 (2009 FD)","2190-03-30.08","0.57","< 1.e-04","0.000","0.565","3.51e+3","1.7e-4","1.449e+02","-2.75","","a0410777"
"101955 Bennu (1999 RQ36)","2193-09-24.60","0.01","< 1.e-04","0.000","-1.938","9.47e+3","2.8e-5","1.152e+03","-2.84","","a0101955"
"99942 Apophis (2004 MN4)","2068-04-12.64","0.02","< 1.e-04","0.000","1.007","1.31e+5","6.7e-6","1.151e+03","-2.93","0","a0099942"
"101955 Bennu (1999 RQ36)","2180-09-24.39","0.12","< 1.e-04","0.000","0.529","8.33e+4","2.0e-5","1.150e+03","-2.96","","a0101955"
"101955 Bennu (1999 RQ36)","2185-09-24.59","0.07","< 1.e-04","0.000","-0.111","8.34e+4","2.0e-5","1.151e+03","-2.97","","a0101955"
"(1979 XB)","2056-12-12.90","0.19","9.71e-2","0.000","-0.89486","2.95e+6","1.8e-7","4.270e+04","-3.12","0","bJ79X00B"
"(1979 XB)","2113-12-14.75","0.21","2.55e-2","0.000","0.06341","1.40e+6","5.6e-7","3.074e+04","-3.13","0","bJ79X00B"
"(2010 AU118)","2020-10-20.11","25.31","6.35e+2","0.038","-0.56370","5.07e+5","1.3e-9","9.104e+05","-3.14","0","bK10AB8U"
"(2007 FT3)","2019-10-03.93","65.92","4.67e+1","1.390","-0.52688","3.75e+4","9.2e-8","2.670e+03","-3.17","0","bK07F03T"
"101955 Bennu (1999 RQ36)","2180-09-24.36","0.19","< 1.e-04","0.000","0.894","9.67e+4","1.1e-5","1.152e+03","-3.19","","a0101955"
"101955 Bennu (1999 RQ36)","2187-09-25.14","0.86","< 1.e-04","0.000","1.689","1.98e+4","8.3e-6","1.152e+03","-3.35","","a0101955"
"(2017 GM7)","2035-06-20.48","0.73","3.62e+0","0.000","-2.90594","2.61e+4","7.5e-8","2.380e+04","-3.36","0","bK17G07M"
"(2015 ME131)","2017-08-19.39","144.61","6.15e+2","0.234","0.78940","2.41e+5","2.4e-9","1.146e+04","-3.41","0","bK15MD1E"
"101955 Bennu (1999 RQ36)","2175-09-25.16","0.45","< 1.e-04","0.000","1.051","1.18e+5","6.4e-6","1.151e+03","-3.43","","a0101955"
"(2008 UV99)","2019-03-30.15","11.92","3.04e+1","0.359","0.51598","4.70e+5","2.9e-8","3.932e+03","-3.44","0","bK08U99V"
"(2017 FN128)","2059-09-13.59","4.26","1.58e+0","2.059","2.28996","9.01e+3","9.0e-8","3.449e+04","-3.52","0","bK17FC8N"
"101955 Bennu (1999 RQ36)","2191-09-25.13","0.03","< 1.e-04","0.000","-0.164","3.05e+5","5.4e-6","1.150e+03","-3.54","","a0101955"
"(2010 AU118)","2025-10-20.64","103.75","6.26e+2","0.164","-0.53931","7.40e+5","9.2e-10","9.039e+05","-3.68","0","bK10AB8U"
"101955 Bennu (1999 RQ36)","2182-09-24.85","0.28","< 1.e-04","0.000","-2.291","3.03e+4","3.5e-6","1.151e+03","-3.71","","a0101955"
"(2017 FO128)","2104-03-15.81","0.61","1.17e-2","0.000","-1.58172","1.13e+4","1.6e-5","7.554e+01","-3.71","0","bK17FC8O"
"(2005 ED224)","2018-03-11.32","0.90","9.42e-3","0.000","1.43764","2.96e+5","4.1e-7","2.447e+01","-3.72","0","bK05EM4D"
"(2001 CA21)","2020-10-08.57","12.96","9.77e+0","1.224","-1.60215","1.90e+6","3.2e-9","5.487e+04","-3.73","0","bK01C21A"
"(2007 FT3)","2024-10-02.85","52.12","4.74e+1","1.079","-0.82761","5.48e+4","7.5e-8","2.724e+03","-3.73","0","bK07F03T"
"101955 Bennu (1999 RQ36)","2176-09-24.39","0.17","< 1.e-04","0.000","2.458","2.56e+4","3.1e-6","1.152e+03","-3.75","","a0101955"
"(2001 CA21)","2025-10-09.45","6.30","4.55e+0","1.165","-1.61080","1.67e+6","7.1e-9","5.554e+04","-3.76","0","bK01C21A"
"101955 Bennu (1999 RQ36)","2181-09-24.78","0.01","< 1.e-04","0.000","1.021","3.52e+5","2.9e-6","1.151e+03","-3.80","","a0101955"
"(2016 NL56)","2019-09-04.74","54.17","9.29e+1","0.573","-0.37959","4.55e+4","9.2e-8","3.903e+02","-3.82","0","bK16N56L"
"(2016 NL56)","2020-06-23.44","50.74","9.50e+2","0.052","0.12644","8.66e+5","6.0e-10","2.977e+05","-3.83","0","bK16N56L"
"(2010 AU118)","2028-10-19.96","106.92","5.54e+2","0.191","-0.57945","8.55e+5","8.8e-10","9.147e+05","-3.83","0","bK10AB8U"
"(2007 FT3)","2030-10-03.62","36.39","4.77e+1","0.742","-0.60895","6.54e+4","9.9e-8","2.685e+03","-3.87","0","bK07F03T"
"(2001 VB)","2023-07-23.30","0.92","5.15e-1","0.000","-3.39298","3.23e+5","2.4e-9","8.601e+04","-3.95","0","bK01V00B"
"(2012 QD8)","2047-03-08.97","0.25","1.48e-2","0.000","0.07979","1.68e+5","4.6e-6","4.817e+01","-3.95","0","bK12Q08D"
"(2010 AU118)","2033-10-20.43","5.08","5.47e+2","0.007","-0.56034","8.88e+5","8.8e-10","9.094e+05","-3.98","0","bK10AB8U"
"(2010 AU118)","2030-10-21.05","175.37","6.23e+2","0.280","-0.52635","9.62e+5","7.0e-10","9.004e+05","-4.00","0","bK10AB8U"
"(2010 WC9)","2027-05-16.00","0.60","4.43e-1","0.000","1.03461","9.39e+4","3.2e-6","1.557e+01","-4.02","0","bK10W09C"
"101955 Bennu (1999 RQ36)","2194-09-24.80","0.57","< 1.e-04","0.000","2.916","9.55e+3","1.8e-6","1.151e+03","-4.04","","a0101955"
"99942 Apophis (2004 MN4)","2076-04-13.02","0.11","< 1.e-04","0.000","1.075","1.73e+6","5.4e-7","1.151e+03","-4.09","0","a0099942"
"101955 Bennu (1999 RQ36)","2186-09-24.97","0.54","< 1.e-04","0.000","-0.187","8.05e+5","1.5e-6","1.151e+03","-4.10","","a0101955"
"(2016 WN55)","2020-09-13.11","158.88","1.04e+2","1.516","-0.49467","1.49e+5","8.9e-9","5.024e+03","-4.10","0","bK16W55N"
"101955 Bennu (1999 RQ36)","2198-09-24.91","0.40","< 1.e-04","0.000","-1.450","3.12e+5","1.5e-6","1.152e+03","-4.11","","a0101955"
"101955 Bennu (1999 RQ36)","2182-09-24.86","0.07","< 1.e-04","0.000","-2.753","2.61e+4","1.4e-6","1.151e+03","-4.11","","a0101955"
"101955 Bennu (1999 RQ36)","2181-09-24.54","0.17","< 1.e-04","0.000","1.361","4.61e+5","1.4e-6","1.151e+03","-4.12","","a0101955"
"(2007 FT3)","2041-10-03.36","28.31","4.82e+1","0.567","-0.63624","7.30e+4","9.8e-8","2.690e+03","-4.13","0","bK07F03T"
