Object,Close-Approach (CA) Date,CA Distance Nominal (LD | au),CA Distance Minimum (LD | au),V relative (km/s),V infinity (km/s),H (mag),Estimated Diameter,
(2007 AG),1900-Jan-04 22:28ξαξξξξ00:05,3.75 | 0.00964,3.73 | 0.00960,8.69,8.65,20.1,250 m -  570 m,bK07A00G
(2014 SC324),1900-Jan-11 01:03ξαξξξξ00:06,15.55 | 0.03995,15.52 | 0.03989,10.65,10.65,24.3,37 m -   82 m,bK14SW4C
4660 Nereus (1982 DB),1900-Jan-29 18:21ξαξξξξ00:08,8.09 | 0.02079,8.08 | 0.02077,5.55,5.52,18.2,610 m -  1.4 km,a0004660
(2015 RW83),1900-Feb-04 02:31ξαξξξξ07:49,12.63 | 0.03245,11.87 | 0.03050,3.13,3.11,24.1,40 m -   90 m,bK15R83W
(2009 BW2),1900-Feb-04 11:05ξαξξξξ18:28,6.86 | 0.01763,6.44 | 0.01655,4.27,4.23,25.1,25 m -   57 m,bK09B02W
(2002 LY1),1900-Feb-05 22:08ξαξ< 00:01,19.09 | 0.04904,19.08 | 0.04903,10.97,10.97,22.3,92 m -  210 m,bK02L01Y
348306 (2005 AY28),1900-Feb-05 23:42ξαξ< 00:01,13.27 | 0.03409,13.27 | 0.03409,17.36,17.36,21.4,140 m -  310 m,a0348306
378160 (2006 WX1),1900-Feb-10 05:07ξαξξξξ00:01,14.35 | 0.03689,14.30 | 0.03675,10.36,10.35,19.5,330 m -  750 m,a0378160
(2012 SD22),1900-Feb-18 08:31ξαξ< 00:01,15.69 | 0.04032,15.69 | 0.04031,14.35,14.34,20.1,250 m -  570 m,bK12S22D
(2013 RZ5),1900-Feb-27 20:23ξαξξξξ06:28,13.57 | 0.03486,8.72 | 0.02240,18.15,18.15,28.4,5.6 m -   12 m,bK13R05Z
419472 (2010 DW1),1900-Feb-27 22:52ξαξ< 00:01,18.32 | 0.04706,18.32 | 0.04706,13.26,13.26,19.9,280 m -  620 m,a0419472
(2015 EQ),1900-Mar-02 10:50ξαξ2_20:55,10.85 | 0.02788,8.15 | 0.02093,9.93,9.92,26.1,16 m -   36 m,bK15E00Q
